   NS=95   NC=95
 A2=  0.30 G2=  0.01 ZT=  0.15
 DEGREE OF POLYNOMIAL=  9
  ISPIN=0
   IHDPP1= 10
   -0.5146606830D+05    0.0000000000D+00   -0.1082455419D+06    0.0000000000D+00
   -0.4047714859D+05    0.0000000000D+00   -0.6623929471D+05    0.0000000000D+00
   -0.8972123075D+05    0.0000000000D+00   -0.1915608652D+06    0.0000000000D+00
   -0.6810676997D+05    0.0000000000D+00   -0.1324116863D+06    0.0000000000D+00
   -0.1168549459D+06    0.0000000000D+00   -0.2290659131D+06    0.0000000000D+00
   -0.8856435382D+05    0.0000000000D+00   -0.1682487588D+06    0.0000000000D+00
   -0.9150574047D+05    0.0000000000D+00   -0.2810295620D+06    0.0000000000D+00
    0.3147585089D+06    0.0000000000D+00   -0.3481543317D+06    0.0000000000D+00
    0.6724148026D+06    0.0000000000D+00   -0.2729754482D+07    0.0000000000D+00
   -0.3406026117D+06    0.0000000000D+00   -0.1141089935D+07    0.0000000000D+00
   -0.3277076396D+06    0.0000000000D+00   -0.5662739082D+06    0.0000000000D+00
   -0.2692194116D+06    0.0000000000D+00   -0.3254524621D+06    0.0000000000D+00
    0.5435170911D+06    0.0000000000D+00   -0.3109273830D+07    0.0000000000D+00
   -0.4665366149D+06    0.0000000000D+00   -0.1349186994D+07    0.0000000000D+00
   -0.4244779789D+06    0.0000000000D+00   -0.6892477785D+06    0.0000000000D+00
    0.3278515766D+06    0.0000000000D+00   -0.3609575135D+07    0.0000000000D+00
   -0.6556606864D+06    0.0000000000D+00   -0.1638229821D+07    0.0000000000D+00
   -0.5686713274D+06    0.0000000000D+00   -0.8653052781D+06    0.0000000000D+00
    0.4525817348D+04    0.0000000000D+00   -0.4296455237D+07    0.0000000000D+00
   -0.9390795246D+06    0.0000000000D+00   -0.2060087256D+07    0.0000000000D+00
   -0.3485471931D+06    0.0000000000D+00   -0.5288184545D+07    0.0000000000D+00
   -0.1338894569D+07    0.0000000000D+00   -0.2715566018D+07    0.0000000000D+00
   -0.2165033399D+05    0.0000000000D+00   -0.6807850984D+07    0.0000000000D+00
    0.6020978319D+07    0.0000000000D+00   -0.9273241579D+07    0.0000000000D+00
    0.2023686214D+08    0.0000000000D+00   -0.4361390383D+08    0.0000000000D+00
   -0.4059453876D+07    0.0000000000D+00   -0.9797152708D+07    0.0000000000D+00
   -0.3959476386D+07    0.0000000000D+00   -0.2093302023D+07    0.0000000000D+00
   -0.3018681048D+07    0.0000000000D+00    0.2938663790D+06    0.0000000000D+00
    0.2040763046D+08    0.0000000000D+00   -0.4937327256D+08    0.0000000000D+00
   -0.5295198191D+07    0.0000000000D+00   -0.1182372855D+08    0.0000000000D+00
   -0.4935100202D+07    0.0000000000D+00   -0.2977657269D+07    0.0000000000D+00
   -0.3769032904D+07    0.0000000000D+00   -0.1418427041D+06    0.0000000000D+00
    0.1977374136D+08    0.0000000000D+00   -0.5685491540D+08    0.0000000000D+00
   -0.7252904160D+07    0.0000000000D+00   -0.1465815213D+08    0.0000000000D+00
   -0.6446395987D+07    0.0000000000D+00   -0.4311064307D+07    0.0000000000D+00
    0.1775233950D+08    0.0000000000D+00   -0.6695582812D+08    0.0000000000D+00
   -0.1042061995D+08    0.0000000000D+00   -0.1881290457D+08    0.0000000000D+00
   -0.8861058831D+07    0.0000000000D+00   -0.6417109725D+07    0.0000000000D+00
    0.1364768532D+08    0.0000000000D+00   -0.8128742454D+08    0.0000000000D+00
   -0.1559603259D+08    0.0000000000D+00   -0.2527025559D+08    0.0000000000D+00
    0.7855902422D+07    0.0000000000D+00   -0.1029727831D+09    0.0000000000D+00
   -0.2381640215D+08    0.0000000000D+00   -0.3607027825D+08    0.0000000000D+00
    0.1016150070D+08    0.0000000000D+00   -0.1386272199D+09    0.0000000000D+00
    0.1023593712D+09    0.0000000000D+00   -0.2038784066D+09    0.0000000000D+00
    0.3332722482D+09    0.0000000000D+00   -0.5579143498D+09    0.0000000000D+00
   -0.8216966633D+08    0.0000000000D+00    0.5773395045D+08    0.0000000000D+00
   -0.5925283227D+08    0.0000000000D+00    0.1240498491D+09    0.0000000000D+00
   -0.3624503736D+08    0.0000000000D+00    0.1217595542D+09    0.0000000000D+00
   -0.2224573726D+08    0.0000000000D+00    0.1081938434D+09    0.0000000000D+00
    0.3576111179D+09    0.0000000000D+00   -0.6325788700D+09    0.0000000000D+00
   -0.9303712590D+08    0.0000000000D+00    0.5092729873D+08    0.0000000000D+00
   -0.6720738041D+08    0.0000000000D+00    0.1295721877D+09    0.0000000000D+00
   -0.4148827813D+08    0.0000000000D+00    0.1300586126D+09    0.0000000000D+00
    0.3777143421D+09    0.0000000000D+00   -0.7286314819D+09    0.0000000000D+00
   -0.1108168023D+09    0.0000000000D+00    0.3885741962D+08    0.0000000000D+00
   -0.8006809443D+08    0.0000000000D+00    0.1338504403D+09    0.0000000000D+00
   -0.5032033462D+08    0.0000000000D+00    0.1384798978D+09    0.0000000000D+00
    0.3867083155D+09    0.0000000000D+00   -0.8566249518D+09    0.0000000000D+00
   -0.1411109787D+09    0.0000000000D+00    0.1751120539D+08    0.0000000000D+00
   -0.1018643619D+09    0.0000000000D+00    0.1349455094D+09    0.0000000000D+00
    0.3720904838D+09    0.0000000000D+00   -0.1035166581D+10    0.0000000000D+00
   -0.1943635247D+09    0.0000000000D+00   -0.2105466341D+08    0.0000000000D+00
   -0.1402393310D+09    0.0000000000D+00    0.1285733074D+09    0.0000000000D+00
    0.3142923495D+09    0.0000000000D+00   -0.1299643698D+10    0.0000000000D+00
   -0.2897755148D+09    0.0000000000D+00   -0.9366261804D+08    0.0000000000D+00
    0.2003126513D+09    0.0000000000D+00   -0.1723688470D+10    0.0000000000D+00
   -0.4592110395D+09    0.0000000000D+00   -0.2389158979D+09    0.0000000000D+00
    0.1549961665D+09    0.0000000000D+00   -0.2478403293D+10    0.0000000000D+00
    0.1562887229D+10    0.0000000000D+00   -0.4027635282D+10    0.0000000000D+00
    0.3140779189D+10    0.0000000000D+00   -0.3254894396D+10    0.0000000000D+00
   -0.2112133027D+10    0.0000000000D+00    0.6203377747D+10    0.0000000000D+00
   -0.1040814382D+10    0.0000000000D+00    0.5480214611D+10    0.0000000000D+00
   -0.4500686578D+09    0.0000000000D+00    0.4376245110D+10    0.0000000000D+00
   -0.1600983031D+09    0.0000000000D+00    0.3511138085D+10    0.0000000000D+00
    0.3679872774D+10    0.0000000000D+00   -0.3935642944D+10    0.0000000000D+00
   -0.2192257125D+10    0.0000000000D+00    0.6615848537D+10    0.0000000000D+00
   -0.1064366259D+10    0.0000000000D+00    0.5936805341D+10    0.0000000000D+00
   -0.4357100198D+09    0.0000000000D+00    0.4779374883D+10    0.0000000000D+00
   -0.1274717623D+09    0.0000000000D+00    0.3856846649D+10    0.0000000000D+00
